trade_id,location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,time,value,
278,CZE,BOP,TOT,MLN_USD,A,1996,-4120.5,
279,CZE,BOP,TOT,MLN_USD,A,1997,-3565.252,
280,CZE,BOP,TOT,MLN_USD,A,1998,-1254.401,
281,CZE,BOP,TOT,MLN_USD,A,1999,-1462.862,
282,CZE,BOP,TOT,MLN_USD,A,2000,-2714.395,
283,CZE,BOP,TOT,MLN_USD,A,2001,-3273.266,
284,CZE,BOP,TOT,MLN_USD,A,2002,-4166.371,
285,CZE,BOP,TOT,MLN_USD,A,2003,-5693.969,
286,CZE,BOP,TOT,MLN_USD,A,2004,-4452.885,
287,CZE,BOP,TOT,MLN_USD,A,2005,-2869.392,
288,CZE,BOP,TOT,MLN_USD,A,2006,-3835.686,
289,CZE,BOP,TOT,MLN_USD,A,2007,-8729.523,
290,CZE,BOP,TOT,MLN_USD,A,2008,-4406.522,
291,CZE,BOP,TOT,MLN_USD,A,2009,-4682.413,
292,CZE,BOP,TOT,MLN_USD,A,2010,-7430.8,
293,CZE,BOP,TOT,MLN_USD,A,2011,-4798.433,
294,CZE,BOP,TOT,MLN_USD,A,2012,-3240.455,
295,CZE,BOP,TOT,MLN_USD,A,2013,-1113.623,
296,CZE,BOP,TOT,MLN_USD,A,2014,379.7132,
297,CZE,BOP,TOT,MLN_USD,A,2015,458.7488,
298,CZE,BOP,TOT,MLN_USD,A,2016,3036.75,
299,CZE,BOP,TOT,MLN_USD,A,2017,3568.84,
300,CZE,BOP,TOT,MLN_USD,A,2018,714.9166,
325,DNK,BOP,TOT,MLN_USD,A,2005,11088.55,
326,DNK,BOP,TOT,MLN_USD,A,2006,9411.56,
327,DNK,BOP,TOT,MLN_USD,A,2007,4622.107,
328,DNK,BOP,TOT,MLN_USD,A,2008,10306.05,
329,DNK,BOP,TOT,MLN_USD,A,2009,11135.54,
330,DNK,BOP,TOT,MLN_USD,A,2010,21140.37,
331,DNK,BOP,TOT,MLN_USD,A,2011,22705,
332,DNK,BOP,TOT,MLN_USD,A,2012,20558.58,
333,DNK,BOP,TOT,MLN_USD,A,2013,26651.76,
334,DNK,BOP,TOT,MLN_USD,A,2014,31467.09,
335,DNK,BOP,TOT,MLN_USD,A,2015,24964.43,
336,DNK,BOP,TOT,MLN_USD,A,2016,24343.82,
337,DNK,BOP,TOT,MLN_USD,A,2017,25549.57,
338,DNK,BOP,TOT,MLN_USD,A,2018,25004.84,
353,FIN,BOP,TOT,MLN_USD,A,1995,5572.799,
354,FIN,BOP,TOT,MLN_USD,A,1996,5095.424,
355,FIN,BOP,TOT,MLN_USD,A,1997,6538.467,
356,FIN,BOP,TOT,MLN_USD,A,1998,6855.334,
357,FIN,BOP,TOT,MLN_USD,A,1999,6996.761,
358,FIN,BOP,TOT,MLN_USD,A,2000,9477.963,
359,FIN,BOP,TOT,MLN_USD,A,2001,10425.29,
360,FIN,BOP,TOT,MLN_USD,A,2002,11492.89,
361,FIN,BOP,TOT,MLN_USD,A,2003,7949.155,
362,FIN,BOP,TOT,MLN_USD,A,2004,11382.82,
363,FIN,BOP,TOT,MLN_USD,A,2005,6230.275,
364,FIN,BOP,TOT,MLN_USD,A,2006,8527.706,
365,FIN,BOP,TOT,MLN_USD,A,2007,10312.32,
366,FIN,BOP,TOT,MLN_USD,A,2008,7219.485,
367,FIN,BOP,TOT,MLN_USD,A,2009,5040.286,
368,FIN,BOP,TOT,MLN_USD,A,2010,3709.72,
369,FIN,BOP,TOT,MLN_USD,A,2011,-3962.964,
370,FIN,BOP,TOT,MLN_USD,A,2012,-5309.726,
371,FIN,BOP,TOT,MLN_USD,A,2013,-4873.24,
372,FIN,BOP,TOT,MLN_USD,A,2014,-3659.304,
373,FIN,BOP,TOT,MLN_USD,A,2015,-2194.239,
374,FIN,BOP,TOT,MLN_USD,A,2016,-4873.482,
375,FIN,BOP,TOT,MLN_USD,A,2017,-1929.868,
376,FIN,BOP,TOT,MLN_USD,A,2018,-3774.233,
401,FRA,BOP,TOT,MLN_USD,A,1999,50793.61,
402,FRA,BOP,TOT,MLN_USD,A,2000,14982.08,
403,FRA,BOP,TOT,MLN_USD,A,2001,21694.72,
404,FRA,BOP,TOT,MLN_USD,A,2002,17180.85,
405,FRA,BOP,TOT,MLN_USD,A,2003,15397.16,
406,FRA,BOP,TOT,MLN_USD,A,2004,11278.95,
407,FRA,BOP,TOT,MLN_USD,A,2005,2281.824,
408,FRA,BOP,TOT,MLN_USD,A,2006,5874.251,
409,FRA,BOP,TOT,MLN_USD,A,2007,-2707.788,
410,FRA,BOP,TOT,MLN_USD,A,2008,-20282.69,
411,FRA,BOP,TOT,MLN_USD,A,2009,-14794.38,
412,FRA,BOP,TOT,MLN_USD,A,2010,-16614.94,
413,FRA,BOP,TOT,MLN_USD,A,2011,-24599.58,
414,FRA,BOP,TOT,MLN_USD,A,2012,-25902.11,
415,FRA,BOP,TOT,MLN_USD,A,2013,-14332.98,
416,FRA,BOP,TOT,MLN_USD,A,2014,-27270.97,
417,FRA,BOP,TOT,MLN_USD,A,2015,-8976.633,
418,FRA,BOP,TOT,MLN_USD,A,2016,-12017.28,
419,FRA,BOP,TOT,MLN_USD,A,2017,-18483.67,
420,FRA,BOP,TOT,MLN_USD,A,2018,-17864.47,
441,DEU,BOP,TOT,MLN_USD,A,1991,-26586.56,
442,DEU,BOP,TOT,MLN_USD,A,1992,-25222.5,
443,DEU,BOP,TOT,MLN_USD,A,1993,-21468.71,
444,DEU,BOP,TOT,MLN_USD,A,1994,-33067.47,
445,DEU,BOP,TOT,MLN_USD,A,1995,-32210.08,
446,DEU,BOP,TOT,MLN_USD,A,1996,-16882.08,
447,DEU,BOP,TOT,MLN_USD,A,1997,-11276.07,
448,DEU,BOP,TOT,MLN_USD,A,1998,-15912.33,
449,DEU,BOP,TOT,MLN_USD,A,1999,-31211.55,
450,DEU,BOP,TOT,MLN_USD,A,2000,-34234.76,
451,DEU,BOP,TOT,MLN_USD,A,2001,-7161.721,
452,DEU,BOP,TOT,MLN_USD,A,2002,39163.48,
453,DEU,BOP,TOT,MLN_USD,A,2003,35322.3,
454,DEU,BOP,TOT,MLN_USD,A,2004,127067.7,
455,DEU,BOP,TOT,MLN_USD,A,2005,132910,
456,DEU,BOP,TOT,MLN_USD,A,2006,172804.7,
457,DEU,BOP,TOT,MLN_USD,A,2007,234765.8,
458,DEU,BOP,TOT,MLN_USD,A,2008,211928,
459,DEU,BOP,TOT,MLN_USD,A,2009,198311.9,
460,DEU,BOP,TOT,MLN_USD,A,2010,195082.8,
461,DEU,BOP,TOT,MLN_USD,A,2011,232688.5,
462,DEU,BOP,TOT,MLN_USD,A,2012,251552,
463,DEU,BOP,TOT,MLN_USD,A,2013,244621.8,
464,DEU,BOP,TOT,MLN_USD,A,2014,279603.8,
465,DEU,BOP,TOT,MLN_USD,A,2015,288334.9,
466,DEU,BOP,TOT,MLN_USD,A,2016,293592.2,
467,DEU,BOP,TOT,MLN_USD,A,2017,295221.4,
468,DEU,BOP,TOT,MLN_USD,A,2018,289186.7,
497,GRC,BOP,TOT,MLN_USD,A,2002,-10522.45,
498,GRC,BOP,TOT,MLN_USD,A,2003,-17080.46,
499,GRC,BOP,TOT,MLN_USD,A,2004,-18557.22,
500,GRC,BOP,TOT,MLN_USD,A,2005,-21965.66,
501,GRC,BOP,TOT,MLN_USD,A,2006,-31409.67,
502,GRC,BOP,TOT,MLN_USD,A,2007,-48380.16,
503,GRC,BOP,TOT,MLN_USD,A,2008,-53467.75,
504,GRC,BOP,TOT,MLN_USD,A,2009,-40741.85,
505,GRC,BOP,TOT,MLN_USD,A,2010,-29999.6,
506,GRC,BOP,TOT,MLN_USD,A,2011,-24792.86,
507,GRC,BOP,TOT,MLN_USD,A,2012,-8562.914,
508,GRC,BOP,TOT,MLN_USD,A,2013,-3435.561,
509,GRC,BOP,TOT,MLN_USD,A,2014,-1751.371,
510,GRC,BOP,TOT,MLN_USD,A,2015,-1594.095,
511,GRC,BOP,TOT,MLN_USD,A,2016,-3372.844,
512,GRC,BOP,TOT,MLN_USD,A,2017,-3839.446,
513,GRC,BOP,TOT,MLN_USD,A,2018,-6173.55,
531,HUN,BOP,TOT,MLN_USD,A,1995,-1572.666,
532,HUN,BOP,TOT,MLN_USD,A,1996,-1847.669,
533,HUN,BOP,TOT,MLN_USD,A,1997,-2085.109,
534,HUN,BOP,TOT,MLN_USD,A,1998,-3714.391,
535,HUN,BOP,TOT,MLN_USD,A,1999,-4096.157,
536,HUN,BOP,TOT,MLN_USD,A,2000,-4187.676,
537,HUN,BOP,TOT,MLN_USD,A,2001,-3298.642,
538,HUN,BOP,TOT,MLN_USD,A,2002,-4301.244,
539,HUN,BOP,TOT,MLN_USD,A,2003,-7020.553,
540,HUN,BOP,TOT,MLN_USD,A,2004,-9461.244,
541,HUN,BOP,TOT,MLN_USD,A,2005,-8126.479,
542,HUN,BOP,TOT,MLN_USD,A,2006,-8416.012,
543,HUN,BOP,TOT,MLN_USD,A,2007,-10172.74,
544,HUN,BOP,TOT,MLN_USD,A,2008,-11155.93,
545,HUN,BOP,TOT,MLN_USD,A,2009,-954.1465,
546,HUN,BOP,TOT,MLN_USD,A,2010,392.1499,
547,HUN,BOP,TOT,MLN_USD,A,2011,835.3893,
548,HUN,BOP,TOT,MLN_USD,A,2012,2032.781,
549,HUN,BOP,TOT,MLN_USD,A,2013,4680.507,
550,HUN,BOP,TOT,MLN_USD,A,2014,1651.087,
551,HUN,BOP,TOT,MLN_USD,A,2015,2906.703,
552,HUN,BOP,TOT,MLN_USD,A,2016,5825.215,
553,HUN,BOP,TOT,MLN_USD,A,2017,3199.167,
554,HUN,BOP,TOT,MLN_USD,A,2018,-804.8177,
579,ISL,BOP,TOT,MLN_USD,A,1995,13.27858,
580,ISL,BOP,TOT,MLN_USD,A,1996,-181.9575,
581,ISL,BOP,TOT,MLN_USD,A,1997,-178.1898,
582,ISL,BOP,TOT,MLN_USD,A,1998,-610.6727,
583,ISL,BOP,TOT,MLN_USD,A,1999,-638.6888,
584,ISL,BOP,TOT,MLN_USD,A,2000,-918.6055,
585,ISL,BOP,TOT,MLN_USD,A,2001,-350.7804,
586,ISL,BOP,TOT,MLN_USD,A,2002,105.3115,
587,ISL,BOP,TOT,MLN_USD,A,2003,-559.0452,
588,ISL,BOP,TOT,MLN_USD,A,2004,-1348.883,
589,ISL,BOP,TOT,MLN_USD,A,2005,-2656.199,
590,ISL,BOP,TOT,MLN_USD,A,2006,-3986.408,
591,ISL,BOP,TOT,MLN_USD,A,2007,-2976.538,
592,ISL,BOP,TOT,MLN_USD,A,2008,-3988.438,
593,ISL,BOP,TOT,MLN_USD,A,2009,-1240.563,
594,ISL,BOP,TOT,MLN_USD,A,2010,-874.9188,
595,ISL,BOP,TOT,MLN_USD,A,2011,-772.3985,
596,ISL,BOP,TOT,MLN_USD,A,2012,-562.1323,
